69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,139,139,139,139,139,139,139,139,139,139,139
139,87,143,144,145,-1,104,105,105,105,105,105,106,-1,86,139,139,139,140,112,113,113,113,113,113,113,113,113,113,113
113,100,-1,-1,-1,-1,130,123,118,118,118,122,132,-1,99,113,113,113,113,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,130,123,118,118,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,27,27,27,27
14,-1,-1,-1,-1,-1,-1,-1,130,123,118,119,-1,-1,-1,-1,-1,-1,78,27,27,27,27,27,27,28,20,20,20,20
14,-1,-1,-1,-1,-1,-1,-1,104,136,118,119,-1,-1,-1,-1,-1,-1,15,20,20,20,20,20,20,20,20,0,1,1
14,-1,-1,-1,-1,-1,-1,-1,117,118,118,119,-1,-1,-1,-1,-1,78,28,20,0,1,1,1,1,1,1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,117,118,122,132,-1,-1,-1,-1,78,28,20,0,92,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,117,118,119,-1,-1,-1,-1,78,28,20,20,13,-1,-1,86,139,87,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,104,136,118,119,-1,-1,-1,78,28,20,20,0,92,-1,86,140,112,100,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,136,118,118,119,-1,78,27,28,20,20,20,13,-1,-1,99,113,100,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,104,105,136,118,118,122,132,-1,15,20,20,20,20,0,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,104,136,118,118,118,122,132,-1,78,28,20,20,20,20,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,104,136,118,118,122,131,132,-1,-1,15,20,20,20,20,20,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,117,118,118,122,132,-1,-1,-1,78,28,20,20,20,20,0,92,-1,-1,-1,-1,86,139,87,-1,-1,-1,-1,-1
14,-1,130,131,131,132,-1,-1,78,27,28,20,20,20,0,1,92,-1,-1,-1,-1,-1,127,17,138,139,139,139,139,139
14,-1,-1,-1,-1,-1,-1,-1,15,20,20,20,20,0,-1,-1,-1,-1,-1,-1,-1,-1,99,113,113,113,113,113,113,113
139,139,87,14,14,14,14,14,15,20,20,20,20,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
